Key,Source,Context,UsedInMainMenu,NoTranslate,english
doughs_GovFlyer_012,,items,Quest - Note,--,"NHO Official Notice"
doughs_GovFlyer_012Desc,,items,Quest - Note,--,"Hello! This is just a friendly reminder from your local Navezgane Health Office.\nWe have had several cases of a new virus that has been difficult to contain. Please do YOUR PART to wash your hands regularly and if you begin experiencing unusual symptoms, report them to your doctor for guidance. Thanks for your support!"
doughs_GovFlyer_013,,items,Quest - Note,--,"NHO QUARANTINE NOTICE"
doughs_GovFlyer_013Desc,,items,Quest - Note,--,"NOTICE TO RESIDENTS: You have been identified as a person who has come into contact with a symptomatic person having the 23-Jav-x2 virus. In order to keep you and other safe, we are requesting you and your family quarantine in your home for the next 21 days. Call the NHO numbers listed below for your area for guidance..."
doughs_GovFlyer_014,,items,Quest - Note,--,NHO Quarantine Request"
doughs_GovFlyer_014Desc,,items,Quest - Note,--,"NOTICE TO RESIDENT: There has been 2 confirmed cases of the 23-Jav-x2 virus in your area. We are requesting that you refrain from leaving town or city limits for the next 7 days to ensure that the virus does not spread further in your community..."
doughs_GovFlyer_015,,items,Quest - Note,--,"NHO Official Notice"
doughs_GovFlyer_015Desc,,items,Quest - Note,--,"NOTICE TO RESIDENT: There has been 17 confirmed cases of the 23-Jav-x2 virus in your area. We are requesting that you refrain from leaving town or city limits for the next 7 days to ensure that the virus does not spread further in your community..."
doughs_GovFlyer_016,,items,Quest - Note,--,"NHO Official Notice"
doughs_GovFlyer_016Desc,,items,Quest - Note,--,"NOTICE TO RESIDENT: There has been 253 confirmed cases of the 23-Jav-x2 virus in your area. We are requesting that you refrain from leaving your home for unnecessary reasons for the next 7 days to ensure that the virus does not spread further in your community..."
doughs_GovFlyer_017,,items,Quest - Note,--,"NHO Official Notice"
doughs_GovFlyer_017Desc,,items,Quest - Note,--,"NOTICE TO RESIDENT: As you are hopefully aware, there is a Zed-7 virus outbreak spreading in your area.  This virus Zed-7 (previously known as 23-Jav-x2) has a medium-high risk of spreading to others when you are in close contact (2 or less feet) and may be able to contaminate others from further distances..."
doughs_GovFlyer_018,,items,Quest - Note,--,"NHC Official Flyer"
doughs_GovFlyer_018Desc,,items,Quest - Note,--,"NOTICE. The Navezgane Health Commission will be having a session in your area to discuss how to handle the current viral spread you may have been hearing about on the news outlets. Feel free to drop by the session today at 1PM-2PM to learn more about what we are doing in your area to combat this new virus..."
doughs_GovFlyer_019,,items,Quest - Note,--,"NHC Flyer"
doughs_GovFlyer_019Desc,,items,Quest - Note,--,"The Navezgane Health Commission would like to remind you of the upcoming meetings in your area (see times and locations below)\nPlease plan to attend at least one of them as we will be discussing the new virus facts and taking questions from the public...."
doughs_GovFlyer_020,,items,Quest - Note,--,"NHC Flyer"
doughs_GovFlyer_020Desc,,items,Quest - Note,--,"The Navezgane Hospital Consortium would like to inform you of several precautions we are asking you and your family to take over the next few days to combat the latest seasonal viruses.  Remember to wash your hands regularly and try to avoid going out for unnecessary errands..."
doughs_AirdropNote_001,,items,Quest - Note,--,"HELLO SURVIVORS!"
doughs_AirdropNote_001Desc,,items,Quest - Note,--,"Hello!  We have had reports of human activity in this area and hope that these supplies find you well!\nWe are doing our best to locate you so please do not travel far from this location.\nWe will be surveying the area as time and resources permit.\nBe safe and wait for rescue!"
doughs_AirdropNote_002,,items,Quest - Note,--,"PLEASE READ!"
doughs_AirdropNote_002Desc,,items,Quest - Note,--,"Hello!  We have detected activity from this area using high altitude surveillance and hope this finds you alive and well.\nWe are currently short of supplies for this region but continue to be on the lookout for future drops.\nIf you encounter military forces in your area be sure to loudly, peacefully, and clearly indicate you are not infected but do not approach them.\nThey will instruct you with next steps on how to proceed."
doughs_AirdropNote_003,,items,Quest - Note,--,"HANG IN THERE!"
doughs_AirdropNote_003Desc,,items,Quest - Note,--,"Friends!  Please accept this crate knowing that we are doing our best to continue to supply survivors like yourself with aid.\nWe have search parties combing the area and hope to locate you and your party members as soon as possible!"
doughs_AirdropNote_004,,items,Quest - Note,--,"DO NOT TRAVEL WEST!"
doughs_AirdropNote_004Desc,,items,Quest - Note,--,"To whom it may concern,\nThis crate is being dropped at the edge of a known large active area of infected.\nDo not travel west of this location.  Please take any items you need to continue surviving.  We are doing our best to help those we can."
doughs_AirdropNote_005,,items,Quest - Note,--,"ATTENTION!"
doughs_AirdropNote_005Desc,,items,Quest - Note,--,"This supply drop may be the last we can provide for several days.  We are sorry that we have been unable to locate you by now but there is a lot of ground to over and you were not at the last drop location when our rescue arrived.\nPlease do not leave the area unless it is necessary for survival!"
doughs_AirdropNote_006,,items,Quest - Note,--,"DO NOT HEAD NORTH!"
doughs_AirdropNote_006Desc,,items,Quest - Note,--,"Survivor(s),\nOur intelligence have detected a very large concentration of radiated infected to the North, about half a days walk from this location.\nDO NOT APPROACH THIS AREA!"
doughs_AirdropNote_007,,items,Quest - Note,--,"ATTENTION!"
doughs_AirdropNote_007Desc,,items,Quest - Note,--,"It may be some time before we will be able to send resources into this area to coordinate a rescue of you and your people.\nThere are many others in more dire need than yourself near the cities and radiated zones.\nStay safe and do not give up hope.\nWe plan to send as many supplies by plane as we can to you."
doughs_AirdropNote_008,,items,Quest - Note,--,"IMPORTANT!"
doughs_AirdropNote_008Desc,,items,Quest - Note,--,"We are doing our best to send you overflow supplies from our main depot in this area.  Be aware that you are in a small, relatively unaffected area of infected survivors and radiation and it has been difficult sending you these drops\nRemain vigilant and know that we are working to bring you home!"
doughs_AirdropNote_009,,items,Quest - Note,--,"STAY AWAY FROM THE SOUTH!"
doughs_AirdropNote_000Desc,,items,Quest - Note,--,"There is a large area of radiation to the South.  Do not attempt to cross it, it is too large to cross safely!  You will be able to recognize this area by the dying vegetation."
doughs_AirdropNote_010,,items,Quest - Note,--,"DO NOT GO EAST!"
doughs_AirdropNote_010Desc,,items,Quest - Note,--,"Our satellites have detected that the area to your EAST is contaminated with high amounts of radioactive fallout. DO NOT travel any farther EAST than this supply drop.\nWe attempted to pick you up but you were not in the designated location."
doughs_BrassBB,,items,Ammo,--,"Brass BB"
doughs_BrassBBDesc,,items,Ammo,--,"Fancy Brass BBs. Doesn't do a lot of damage, but ... and everyone 'sees' this coming...don't shoot your eye out."
doughs_BrassBB_Schematic,,items,Admin,newKey,"Brass BB Schematic"
doughs_BrassBB_SchematicDesc,,items,Admin,newKey,"Looks like crafting brass BB's isn't too hard.\nI mean, you're probably (maybe) smart enough to craft an auto aiming turret that shoots junk, but you really had your doubts on how to form perfectly round small metal BB's until you read this."
doughs_gunPistolBB,,items,GunPistol,--,"Pistol BB gun"
doughs_gunPistolBBDesc,,items,GunPistol,--,"A basic BB gun pistol that uses BB ammo.  Maybe with enough mods and skill it could be useful?\n\nRepair with a Repair Kit.\nScrap to metal."
doughs_BrownBook_Base,,items,book,newKey,"How to Collect Old Books"
doughs_BrownBook_BaseDesc,,items,book,newKey,"First, purchase an old book.\nThen do not sell it.\nRepeat."
doughs_BrownBook_001,,items,book,newKey,"Master Baiting Enthusiast"
doughs_BrownBook_001Desc,,items,book,newKey,"How to catch fish using both One and Two handed methods. By F. Inger Cummings."
doughs_BrownBook_002,,items,book,newKey,"How to Collect Old Books"
doughs_BrownBook_002Desc,,items,book,newKey,"First, find a book.\nThen do not sell it.\nRepeat.\nYou would think it's that easy, but you'd be surprised how much work goes into collecting! ..."
doughs_BrownBook_003,,items,book,newKey,"History of Classic Television Shows - Vol. 1"
doughs_BrownBook_003Desc,,items,book,newKey,"Did you know that Wards Wally was Junes Beaver Cleaver?\nA fascinating deep look at several of the most popular sitcoms of the Golden Age of Television..."
doughs_BrownBook_004,,items,book,newKey,"101 Home Security Tips and Tricks"
doughs_BrownBook_004Desc,,items,book,newKey,"How to modify your home so that burglars will not find your valuables!\nLearn the secrets THEY DON'T WANT YOU TO KNOW!"
doughs_BrownBook_005,,items,book,newKey,"Knitting for Fun and Profit"
doughs_BrownBook_005Desc,,items,book,newKey,"Learn this fascinating time honored craft to keep you busy AND provide gifts for friends and family!"
doughs_BrownBook_006,,items,book,newKey,"PC Repair: Masterclass"
doughs_BrownBook_006Desc,,items,book,newKey,"1995 Edition\nMaster the intricate complexities of assembling these amazing machines!\nYou too can soon be ON THE INTERNET.\nContains a new chapter of the latest information on how to choose the right Sound Card for your Christmas build!\nAuthored by: G. Rey Beard."
doughs_BrownBook_007,,items,book,newKey,"Fortran Programming 4th Ed."
doughs_BrownBook_007Desc,,items,book,newKey,"Fortran Programming - From stdout to bubblesort. Navezgane University Press. 1997"
doughs_BrownBook_008,,items,book,newKey,"How to WIN at Navezopoly"
doughs_BrownBook_008Desc,,items,book,newKey,"Have you ever wanted to be the BIG WINNER at one of the hottest games around?\nThis book is PACKED with secrets from the pros that will take your game from snoring to adoring!"
doughs_BrownBook_009,,items,book,newKey,"The Llama That Saw Ya"
doughs_BrownBook_009Desc,,items,book,newKey,"Where's Llama?\nIs he....behind the couch? NO!\nIs he....behind the chair? NO!\nIs he....behind the curtains?\nNO! WAIT! THERE HE IS!\nLlama ALREADY SAW YOU!\nSilly Llama!\n- THE END"
doughs_BrownBook_010,,items,book,newKey,"Hidden Nature: Tide Pools"
doughs_BrownBook_010Desc,,items,book,newKey,"Within you will marvel at the amazing diversity of life found in tide pools\nTheir fragile ecosystem is constantly being rebuilt with every rise and fall of the tide...."
doughs_BrownBook_011,,items,book,newKey,"Don't Eat Yellow Dough"
doughs_BrownBook_011Desc,,items,book,newKey,"...A delightful cozy mystery about a local pastry chef solving a murder involving a very suspicious package found in the old house she is renovating to make room for her new bakery and a strange cat that befriended her. Another 'Who dough'nit mystery written by: Stu. F. FinMuffins"
doughs_BrownBook_012,,items,book,newKey,"Shamway Soup for the Soul"
doughs_BrownBook_012Desc,,items,book,newKey,"101 stories of perseverance showing how much you have to gain by giving it all and letting it all go.\n'A Delightful read!' - Frederick Kreugerman"
doughs_BrownBook_013,,items,book,newKey,"Coming to Terms With Death"
doughs_BrownBook_013Desc,,items,book,newKey,"A compilation of true life stories by Frank Stein. After the short journey of life, most people and their loved ones find they are still not prepared for the final days.\nThese 7 stories of what it's like to experience the death of a loved one will hopefully prepare you for your eventual crossing over into the unknown realm... "
doughs_BrownBook_014,,items,book,newKey,"7 Days to a Better You!"
doughs_BrownBook_014Desc,,items,book,newKey,"Join Dr. Zed Walker as he gives you tips and exercises to take you from a shambling groaning mess to a lean, mean, exercising machine!\nLearn how to eat better and maximize your potential!"
doughs_BrownBook_015,,items,book,newKey,"7 Days to Fry"
doughs_BrownBook_015Desc,,items,book,newKey,"(This cookbook appears to have delicious recipes, but it looks like all of them contain exotic perishable ingredients you're unlikely to find anymore.  Like sugar. Or flour. )"
doughs_BrownBook_016,,items,book,newKey,"7 Ways to Try"
doughs_BrownBook_016Desc,,items,book,newKey,"Is your child afraid of the dark?  If so, these 7 techniques will help you coax your child to be comfortable sleeping alone with the light off"
doughs_BrownBook_017,,items,book,newKey,"7 Filets to Buy"
doughs_BrownBook_017Desc,,items,book,newKey,"Join in world renowned Chef Zed Hungerman as he samples different fish from the 7 seas.  Includes recipes!  Al you have to do is provide the exotic fish!"
doughs_BrownBook_018,,items,book,newKey,"7 Glades to Scry"
doughs_BrownBook_018Desc,,items,book,newKey,"An autobiography about the famous water dowser Jon Z Ombie and his life finding water in places you wouldn't believe!"
doughs_BrownBook_019,,items,book,newKey,"Seven Parades to Eye"
doughs_BrownBook_019Desc,,items,book,newKey,"The definitive compendium of parades you must not miss before you die!\nCovers recent entries such as The Winter Plowmans Shamble to the historic 10,000 year old Walk of Shame."
doughs_BrownBook_020,,items,book,newKey,"7 Crays to Dry"
doughs_BrownBook_020Desc,,items,book,newKey,"Tired of leftover crayfish after a long week of crayfish?\nLearn 7 amazing ways to cure this confounding crustacean using nothing but air!"
doughs_BrownBook_021,,items,book,newKey,"Seven Shades to Guile"
doughs_BrownBook_021Desc,,items,book,newKey,"Are you finding yourself constantly being referred to as 'dumbass' by your dumbass friends?\nIf so, maybe YOU ARE the dumbass!  Take this 7 step mind expanding course to ride the brain train to outsmartsville!\nShow those dumbasses who's ass is now dumb, you ass! Today!"
doughs_BrownBook_022,,items,book,newKey,"7 Faes to Ride"
doughs_BrownBook_022Desc,,items,book,newKey,"Ride hard yet light with Buck Pumpington as he yet again sways the Faes of the Dark, Wet, and Dangerous Forests of Bush Valley\nThere's 'nary a fairy that wont be coming to Bucks famous all you can eat hot winged party!\nBook #5 in the Buck Hard series."
doughs_BrownBook_023,,items,book,newKey,"7 Dates to Hi"
doughs_BrownBook_023Desc,,items,book,newKey,"Tired of dating apps that over promise and under deliver? Delete them today!\nUse these seven smooth tricks to talk to all the hot young singles in your local grocery store!"
doughs_BrownBook_024,,items,book,newKey,"7 Fates to Cry"
doughs_BrownBook_024Desc,,items,book,newKey,"...having tired of day after day of boring butter and happiness, a middle aged pastry chef snaps and rages into a horrifying bludgeoning spree ...\nand 6 other shocking and incredibly true and saddening tales unfold."
doughs_BrownBook_025,,items,book,newKey,"Seven Grades to Wine"
